V1	V2	V3
CAGL0B03927g	ORF|Uncharacterized	NULL
CAGL0B03949g	ORF|Uncharacterized	NULL
CAGL0B03971g	ORF|Uncharacterized	NULL
CAGL0B03993g	ORF|Uncharacterized	NULL
CAGL0B04015g	ORF|Uncharacterized	NULL
CAGL0B04037g	ORF|Uncharacterized	NULL
CAGL0B04059g	ORF|Uncharacterized	NULL
CAGL0B04081r	tRNA|Uncharacterized	NULL
CAGL0B04103g	ORF|Uncharacterized	NULL
CAGL0B04125g	ORF|Uncharacterized	NULL
CAGL0B04147g	ORF|Uncharacterized	NULL
CAGL0B04169g	ORF|Uncharacterized	NULL
CAGL0B04191g	ORF|Uncharacterized	NULL
CAGL0B04213g	ORF|Uncharacterized	NULL
CAGL0B04235g	ORF|Uncharacterized	NULL
CAGL0B04257g	ORF|Uncharacterized	NULL
CAGL0B04279g	ORF|Uncharacterized	NULL
CAGL0B04301g	ORF|Uncharacterized	NULL
CAGL0B04323g	ORF|Uncharacterized	NULL
CAGL0B04345g	ORF|Uncharacterized	NULL
CAGL0B04367g	ORF|Uncharacterized	NULL
CAGL0B04389g	ORF|Verified	NULL
CAGL0B04411g	ORF|Uncharacterized	NULL
CAGL0B04433g	ORF|Uncharacterized	NULL
CAGL0B04455g	ORF|Uncharacterized	NULL
CAGL0B04477g	ORF|Uncharacterized	NULL
CAGL0B04499g	ORF|Uncharacterized	NULL
CAGL0B04521g	ORF|Uncharacterized	NULL
CAGL0B04543g	ORF|Uncharacterized	NULL
CAGL0B04565g	ORF|Uncharacterized	NULL
CAGL0B04587g	ORF|Uncharacterized	NULL
CAGL0B04609g	ORF|Uncharacterized	NULL
CAGL0B04631g	ORF|Uncharacterized	NULL
CAGL0B04653s	centromere	NULL
CAGL0B04675g	ORF|Uncharacterized	NULL
CAGL0B04697g	ORF|Uncharacterized	NULL
CAGL0B04719g	ORF|Uncharacterized	NULL
CAGL0B04741g	ORF|Verified	NULL
CAGL0B04763g	ORF|Uncharacterized	NULL
CAGL0B04785g	ORF|Uncharacterized	NULL
CAGL0B04807g	ORF|Uncharacterized	NULL
CAGL0B04829g	ORF|Uncharacterized	NULL
CAGL0B04851g	ORF|Uncharacterized	NULL
CAGL0B04873g	ORF|Uncharacterized	NULL
CAGL0B04895g	ORF|Uncharacterized	NULL
CAGL0B04917g	ORF|Verified	NULL
CAGL0B04939g	ORF|Uncharacterized	NULL
CAGL0B04961g	ORF|Uncharacterized	NULL
CAGL0B04983g	ORF|Uncharacterized	NULL
CAGL0B05005r	tRNA|Uncharacterized	NULL
